utterance,label,previous speaker
"Boom! In your face Summer! You really dropped the ball, man.",Morty,Rick
"Shut up Morty, you vindictive little turd!",Summer,Morty
You shut up you big... female asshole!,Morty,Summer
Whoa whoa wh-what the hell hell hell hell hell?,Rick,Morty
Were either of you guys uncertain about anything just now?,Rick,All Summers
Cold Stone Creamery is the best. What should we do with our remaining twenty dollars?,Jerry,All Ricks
You realize they sing no matter how much you tip.,Beth,Jerry
I hit a deer! W-we have to tell the cops you were driving.,Jerry,Beth
"Well, do we- do I uh, get a big rock? Or--",Jerry,Beth
"I thought that's what a man's supposed to say, it's not like I could have actually done it.",Jerry,Beth
"If we were near a hospital, I could treat it, but I-I think we have to just-",Beth,Jerry
"It's okay, this is just something that happens. And even if we were in a hospital, what could we do, you're a horse surgeon, not a deer surgeon.",Jerry,Beth
Require different levels of skill to keep alive?,Beth,Jerry
"Get the deer in the car, Jerry.",Beth,Jerry
"Huh, what do you know, it's working",Rick,All Ricks
"I'm a certified horse surgeon, and this deer needs medical attention. Nurse, please move that snake.",Beth,Vet
"As a vet, I'm sure you know a deer is closer to a horse than you are to a doctor, so let's save the measuring for when our dicks are out, it's time to save a life!",Beth,Vet
"Uh, yeah, I was there, you don't have to rub it in.",Jerry,Beth
I mean it's been shot. With a gun.,Beth,Jerry
"You son of a bitch, you don't stop living until I SAY SO!",Beth,All Ricks
"Jerry, if you're not gonna help, get the fuck out of here! I will reach into heaven and yank your screaming deer soul back!",Beth,Jerry
"Yes, we're back to our own time.",Summer,Rick
"Yes no more cats, no more cats, oh you did it, you fixed it.",Morty,Summer
How long exactly do we have to wear these things? They're really embarassing.,Rick,Testicle Monster A
You stole a time freezing crystal from testical monsters?,Summer,Testicle Monster A
"I would have been happy to pay for it, Summer, but they don't exactly sell them at Costco. Besides, there's a larger lesson to be learned here. Get him!",Rick,Summer
Isn't there a kitten somewhere that needs a manicure?,Beth,Vet
"Honey, it's gonna be okay. These men are from the Cervine Institute of Elk, Moose Deer and Stag. They can take this deer to a helicopter and fly it to the country's top deer surgeon on a wildlife reserve across the state border, where your jurisdiction ends.",Jerry,Beth
What if I told you there's a huge ticket up right behind you?,Rick,Testicle Monster A
"Alright, hear me out on this. You're immortal, right, which means your life is infinite. Well in that case there's 100% chance that you'll eventually do everything, including turning around to look behind you.",Rick,Testicle Monster A
"Summer, Morty, take off your collars!",Rick,Testicle Monster A
Good question. I suppose the answer is,Rick,Testicle Monster A
"Look, I know I was kind of a nuisance today. I know it's my fault we hit the deer, and I know you wanted to be the one to save it.",Jerry,Testicle Monster A
Whatever. How petty would I have to be to care less about an animal's life than my own ego?,Beth,Jerry
Hmm... you'd have to be pretty petty. But you'd still be the woman I married.,Jerry,Beth
There is no helicopter and there is no Cervine Institute.,Jerry,Beth
I'm looking at her. Thanks for F.D.'ing me up like that.,Jerry,Beth
"Jerry, this was the most romantic weekend I've ever had.",Beth,Beth
"Oh, that was a close call. Oh yeah, do it Rick, do it right.",Morty,Summer
"You know what I'm talking about, oh yeah. I'm gonna do the cabbage patch, Morty. Check me out I'm doing the cabbage patch dance. It's a classic dance, remember, like this. Oh shit look at that.",Rick,Morty
Do the cabbage patch. Do—do—do the dance.,Morty,Rick
"Hey wait a second, how come you guys took longer to get here?",Summer,Morty
I don't know. I think like one sixty-fourth of my collars didn't work. It's hard to keep straight now that I have sixty-three other memories of everything.,Morty,Summer
"But I feel like one of the sixty-four Ricks like, sacrificed himself for me, maybe, I think.",Morty,Rick
"Shut up, Morty. The last time you felt something, we all almost died. You little s—piece of shit.",Rick,Morty
"Hey guys, we're home.Morty & Summer",Beth,Rick
"Um, hold the phone, where did you guys get those necklaces from? Uh, Lady Gaga, table for three, am I right?",Jerry,Beth
"Are you guys Power Rangers? But only on one small part of your necks? Hey, do those things need batteries? Were they included? Clean up in the fruit isle! Not in a homophobic way though, they're just fruity necklaces is all I was saying.",Jerry,Jerry
"Doesn't feel so good, does it?",Morty,Beth
"Somebody call the planet of Tron, we have three Tron people over here. But seriously, are these Halloween costumes? Are you going as motorcycles? With green headlights instead of normal ones? Are you dogs? Robot dogs? Gosh, you guys are lame. Are those chokers from the 90's? What is this, a 90's nostalgia thing? Are you guys in that movie “The Craft” with Fairuza Balk?",Jerry,Beth
The trick to cereal is keeping 70% of it above the milk.,Jerry,
"Uh, w-why don't you get it Jerry? you're the man of the house and you don't have a job.",Rick,Beth
"Ughhhh... belchflies towards front doorTurning back around and re-entering dining roomScoffsHovers over Jerry and fully shoves him into underside before flying away through open front door and into skyRuns to front doorFollow BethLooking into skyStill eating cerealUnscrewing and drinking from scotch flaskMorty waveskissing Beth's handHolding a suit in a dry cleaning bag* Your language has 'squanch,' in it a lot. Doesn't that become tedious and worn out like the Smurf thing?",Rick,Summer
"Beth, Squanchy culture is more... contextual than literal. You just say what's in your squanch and people understand.",Rick,Rick
"Oh, okay... I squanch my family.",Beth,Rick
"What? I do, I squanch my family.",Beth,Beth
"Anyway, that's how I escaped from space prison! Oh, scary place.",Rick,Testicle Monster A
"Wow, Rick! That's -- That's one -- one heck of a story. I sure do wish I could have been there to see it happen.",Morty,Rick
"Oh, come on. Who wants to watch a mad scientist use handmade sci-fi tools to take out highly trained alien guards when we can sit here and be a family at Shoney's?",Rick,Morty
"Dad, it's great to have you back, no matter where we are, but wouldn't you like to go home?",Beth,Rick
"Emotionally speaking, honey, Shoney's is my home.",Rick,Beth
"Yeah, but you just got out of prison. I mean, how much of a step up from that is --",Jerry,Rick
"Jerry, get out of the booth, take all your clothes off, and fold yourself 12 times.",Rick,Jerry
"Six folds, huh? W-W-What, have you guys got me in a Series 9000? You cheap insect fucks didn't think I was worth your best equipment?",Rick,Jerry
"Well, you might as well order some pancakes, because I don't see the need to leave this part of my brain.",Rick,Cornvelious Daniel
"I tell ya, the Galactic Federation taking over Earth -- best thing that's ever happened to this family. I just got my sixth promotion this week, and I still don't know what I do.",Jerry,Cornvelious Daniel
Who cares how high they promote you? Everyone just gets paid in pills.,Summer,Jerry
"Well, when you're not sure what you do for a living, you can make your own rules.",Jerry,Summer
"Summer, show your father some respect. He's pulling down a six-chewable figure income.",Beth,Jerry
"I kind of had big pills for lunch, and I  wasn't gonna eat any more pills.  Thank you, Conroy.",Morty,Beth
Grandpa Rick wouldn't put up with this!,Summer,Jerry
Stop saying his name! He abandoned us.,Beth,Summer
Willem Dafoe! Th-That's the guy I couldn't think of this morning.,Jerry,Beth
"Don't make my mistake, Summer. Don't deify the people that leave you. You'll end up a horse surgeon in a world controlled by aliens whose medicine keeps horses  healthy forever.  Horses live longer than tortoises now. Is that what you want for yourself?",Beth,Jerry
Maybe I just want you to care if I run away yelling!,Summer,Beth
"Oh, any particular ones? You want to see my first boner, or should we go straight to the moment I discovered interdimensional travel?",Rick,Jerry
"' Ooh, your little flappy doodles are twitching. Does that mean you're aroused, or did you just get a signal that one of your buddies found a grape?",Rick,Rick
"Well, that depends on who breaks first -- me or the titty.",Rick,Rick
The day I invented the portal gun is the day I lost her.,Rick,Cornvelious Daniel
Huh? What are you -- What are you doing?,Morty,Rick
"Grandpa Rick must have some secret lab, right? With, like, laser guns and jets packs and a space tank! And we can go break him out of prison! Look at these dead flies! Maybe if we arrange them in a certain order, it plays a hologram or it opens a secret door.",Summer,Morty
"Summer, you're freaking me out. I know things have changed a lot, and I know you miss Rick, but getting him back wouldn't make things better. And, you know, we're not doing so bad.",Morty,Summer
"We're miserable, Morty! There's a mandatory curfew, their weird calendar made me 47, and they weaponized the Eiffel Tower!",Summer,Morty
"Hey, I like being 35. I-I can rent a car now.",Morty,Summer
"Because you suck! You've been keeping your lip zipped about it since Grandpa got arrested, but the fact is, you're freaking stoked to bail on him.",Summer,Morty
"He bails on everybody! He bailed on Mom when she was a kid! He -- He bailed on tiny planet! And in case I never made this clear to you, Summer, he bailed on you. He left you to rot in a world that he ruined because he doesn't care! Because nobody's special to him, Summer, not even himself. So, if you really want your grandpa back, grab a shovel. The one that won't let you down is buried in your backyard!",Morty,Summer
"What?! No, I'm not right. I-I was using ghoulish overkill! Ghoulish overkill, Summer!",Morty,Summer
"Oh, God! Oh, God! Whoa, whoa!",Morty,Morty
To the day it all began and ended. The moment that changed everything.,Rick,Cornvelious Daniel
"Yeah, I'd like to get a 10-piece McNugget and a bunch of the Szechuan sauce. Like, as much as you're allowed to give me. In 1998, they had this promotion for the Disney film ""Mulan,"" where they -- where they -- they created a new sauce for the McNuggets called Szechuan sauce, and it's delicious! And then they got rid of it, and now it's gone. This is the only place we're gonna be able to try it, is in my memory.",Rick,Rick
Me. I used to wear blue pants.,Rick,Cornvelious Daniel
"Summer, nobody has to know about that. We could put it right back and pretend we never saw it, like we did with Dad's mannequin leg.",Morty,Young Rick
"Fine, stay here. I'll rescue Grandpa myself.",Summer,Morty
And how are you gonna do that?,Morty,Summer
I don't know yet. I'll make it up as I go. That's what Grandpa Rick does. That's what heroes do.,Summer,Morty
"Y-You want to see what a hero Rick is? I-I'll bring you somewhere, Summer. Um-",Morty,Summer
"What is this place? And what's with ""Hunger Games"" Summer?",Summer,Morty
That's my sister. This used to be my home.,Morty,Summer
"Good roasted Cronenberg, I assume. Mom, you're looking feral. I can't believe Rick did this.",Summer,Young Rick
"These are the parts of Rick's adventures you don't get to see -- the parts he leaves behind. All right, it's been great, guys. I really only wanted to stop by here for a quick ""I told ya so."" So, uh--",Morty,Summer
What are you doing with that?!,Morty,Morty
No! Why?! Why would you do that?! W-W-What is the matter with you people?!,Morty,Morty
Hold your fire! Hold your fire! I'm Morty C-137.,Morty,Morty
He got captured by the Federation and we were going to rescue him.,Summer,Morty
Yeah. That's the three lines of math that separates my life as a man from my life as an unfeeling ghost.,Rick,Cornvelious Daniel
"Because the code you just uploaded wasn't actually my portal-gun formula, it was a virus giving me full control over the brainalyzer.",Rick,Cornvelious Daniel
"True, but you can alter anything you want about a totally fabricated origin story.",Rick,Cornvelious Daniel
"Mission accomplished, boys. Pull me out.",Rick,Cornvelious Daniel
"Okay, have fun in what's left of my brain. I'm gonna transfer to yours. Oh, there's not enough room for all my genius, so I'm leaving you with my fear of wicker furniture, my desire to play the trumpet, my tentative plans to purchase a hat, and six years of improv workshops. Comedy comes in threes.",Rick,Rick
It's the Citadel of Ricks. All the different Ricks from all the different realities got together to hide here from the government.,Morty,Summer
"But if every Rick hates the government, why would they hate Grandpa?",Summer,Morty
Because Ricks hate themselves the most. And our Rick is the most himself.,Morty,Summer
How is this a fair trial? O-Our lawyer is a Morty.,Morty,Riq IV
"I say fuck you! My grandpa was my hero. You killed him because you were jealous of him. That's pretty obvious from the haircuts. So do what you want to me, but let my brother go. He already renounced Rick.",Summer,Riq IV
"What? N-No, I don't want to see your Pog collection. I don't renounce Rick, and I never have. I was just trying to protect my sister. I wanted you to have a normal life. That's something you can't have when Rick shows up. Everything real turns fake. Everything right is wrong. All you know is that you know nothing and he knows everything. And, well -- well, he's not a villain, Summer, but he shouldn't be your hero. He's more like a demon or a super fucked up god.",Morty,Riq IV
"Oh, yeah? If you think my Rick's dead, he's alive. And if you think you're safe, he's coming for you!",Morty,Riq IV
"Morty, take this. You're gonna need it later.",Rick,Morty
What -- What's this supposed to accomplish? We have infinite grandkids. You're trying to use Disney bucks at a Caesar's Palace here.,Rick,Riq IV
"That's a bluff. He's bluffing, sir. He loves me.",Summer,Rick
"I came to kill you, bro. That's not even my original Summer.",Rick,Riq IV
"Oh, my God. He's not bluffing. He's not bluffing!",Summer,Rick
"20 yards, nine-gauge plasma pistol, My first shot would liquify her insides and injure you, second shot adds recoil. The risk to me is minimized if I wait for you to shoot her, which I'm encouraging you to do.",Rick,Riq IV
"Or let her go, which I will reward with a quicker death.",Rick,Summer
"Because it's incentive for you to give me my cleanest shot, which will be your least painful death. But if you want to die slower than that, I'm super into it. All you got to do to get that started is kill the girl.",Rick,Riq IV
"That's enough! Drop the gun, Rick!",Morty,Rick
"Morty, I know you're too stupid to get this, but you're really fuckin' this up right now.",Rick,Morty
I'm not letting you let my sister die! Drop the gun!,Morty,Rick
"I wasn't gonna let her die, you fuckin' moron!",Rick,Morty
The point is he thought I was going to.,Rick,Summer
"You're a serious fuckin' idiot, Morty! You basically killed us all! You're the worst! You're as dumb as a bag of sand.",Rick,Summer
"Morty, we just got him back!",Summer,Morty
"Good job, Morty. Let's go, kids.",Rick,Riq IV
Oldest Rick trick in the book.,Rick,Summer
"""Fake gun, shoot me in standoff."" Brilliant.",Summer,Rick
"Ha, yeah. G-Good thing I saw that note.",Morty,Summer
Not until I finish what I started. And that is how you get level-nine access without a password.,Rick,Summer
"Employee of the month, ladies and gentlemen.",Rick,Rick
"So, what are you doing with level-nine access anyways?",Morty,Rick
Are you going to set all their nukes to target each other?,Summer,Rick
"Ooh, or -- or reprogram their military portals to disintegrate their entire space fleet?",Morty,Summer
"Good pitches, kids. I'm almost proud. But watch closely as Grandpa topples an empire by changing a one to a zero.",Rick,Morty
"Jerry, what the hell is happening?!",Beth,Mr. Goldenfold
"Look, I-I'm not proud to share this, but the truth is, I just kept crawling, and it kept working.  Oh, I'm glad you're okay. Are we ever going to stop paying for indulging your father? Our children, our planet, our jobs? Is there anything left to lose?",Jerry,Beth
"Just each other, and I'll never let you go. And I'm so sorry I ever did this to us.",Beth,Jerry
I was right. He turned himself in on purpose. It was all part of his plan!,Summer,Rick
"Jerry, is there any light beer left? It's insane what you miss in prison.",Rick,Summer
"Um..okay. No. No, no, no. Foot down time.",Jerry,Rick
"No, you're right. Where's the vodka?",Rick,Jerry
"Seems like you guys need some privacy. I'll, uh -- I'll be in the garage.",Rick,Jerry
"What the fuck? Not cool, Jerry! A man's garage is his castle.",Rick,Rick
Jerry's going to spend some time divorced.,Beth,Rick
"Oh, I-I'm sorry to hear that, sweetie. I hope I had nothing to do with that.",Rick,Beth
"Oh, God, Dad, that is not your burden to bear. I feel terrible that I misjudged you. This is gonna be good for Jerry.",Beth,Rick
I better tend to Jerry before he changes his mind and doesn't move out. I will leave you two to your adventures.,Beth,Beth
"Oh, my God. Nancy says they're drawing and quartering aliens in the school courtyard, and it technically counts as patriotism.",Summer,Beth
"Geez! Are my parents seriously gonna get divorced? All right, Rick, I'm gonna go to my --",Morty,Summer
"Not so fast, Morty. You heard your mom. We've got adventures to go on, Morty -- just you and me -- and sometimes your sister and sometimes your mom, but never your dad. You want to know why, Morty? Because he crossed me.",Rick,Morty
"Okay, take it easy, Rick. T-T-That's dark.",Morty,Rick
"Oh, it gets darker, Morty. Welcome to the darkest year of our adventures. First thing that's different -- no more Dad, Morty.",Rick,Morty
"He threatened to turn me in to the government, so I made him and the government go away.",Rick,Morty
I've replaced them both as the de facto patriarch of your family and your universe. Your mom wouldn't have accepted me if I came home -,Rick,Morty
"- without you and your sister, so now you know the real reason I rescued you. Oh! I just took over the family, Morty, and if you tell your mom -",Rick,Morty
"- or sister I said any of this, I'll deny it -",Rick,Morty
"- and they'll take my side because I'm a hero, Morty. And now you're gonna have to go -",Rick,Morty
"- and do whatever I say, Morty, forever! And I'll -- I'll go out and I'll find some more of that ""Mulan"" Szechuan teriyaki dipping sauce, Morty. -",Rick,Morty
"- Because that's -- that's what this is all about, Morty.",Rick,Morty
"That's my one-armed man! I'm not driven by avenging my dead family, Morty! That was fake. I-I-I'm driven by finding that McNugget sauce.",Rick,Morty
"I want that ""Mulan"" McNugget sauce, Morty! That's my series arc, Morty.",Rick,Morty
"If it takes nine seasons, I want my McNugget dipping sauce, Szechuan sauce, Morty.",Rick,Morty
"What are you talking about, Rick?",Morty,Rick
"That's what's gonna take us all the way to the end, Morty.",Rick,Morty
"Season -- Nine more seasons, Morty. Nine more seasons until I get that dipping Szechuan sauce.",Rick,Morty
"I want that McNugget sauce, Morty!",Rick,Morty
"Don't let any of those things get away, Morty. If their DNA gets into Earth's food chain, our entire species could be sterilized.",Rick,
Then why aren't we killing them?!,Morty,Rick
"Great. Next time I need a species sterilized, who's gonna do it for me? You?",Rick,Morty
"Oh, Rick! I-Is that the Vindibeacon? We're being called to assemble by the Vindicators!",Morty,Rick
"I refuse to answer a literal call to adventure, Morty. Let it go to voicemail!",Rick,Morty
"Rick, the Vindicators only call when the universe itself is at stake! They're first line of defense against evil! They're the guardians of the unguarded!",Morty,Rick
"They're the writers of their own press releases, Morty! They're a bunch of drama queens that spend an hour talking and twenty minutes jumping around while shit blows up. They're a phase. We did one, it was the big event of that summer. Let it die.",Rick,Morty
"I, Morty Smith, invoke my right to choose one in every ten Rick and Morty adventures.  Read 'em and weep.",Morty,Rick
God... fuckin' dammit!  Fine! But don't say I didn't warn you.,Rick,Morty
"Yes!  Vindicator command ship, beacon received! We're doing Vindicators Twoooooooooo!",Morty,Rick
"Whoops! Uh, Morty, you might want to freeze some sperm.",Rick,Morty
"Oh, that's Million Ants. I can't see the ants over here. It just assumed that was, uh, Turd Man. Wiggly Turd Man.",Rick,Supernova
"Uh, yeah, just a few more design notes.  Um, this guy. The, uh... The, uh...",Rick,Supernova
"Right, Crocubot. So, you're half-cold, unfeeling reptile, half-also cold, equally-unfeeling machine.",Rick,Rick
"So, you're origin is what? Y-You fell into a vat of redundancy?",Rick,Rick
"Well, let me check my list of powers and weaknesses. Ability to do anything... But only whenever I want... Yeah, that sounds like a job for me.",Rick,Supernova
"Alan Rails, ladies and gentleman. After his parents' tragic death in a railroad accident, he gained the power to summon ghiost trains. It's not all bad, though. They were spared having to see their grown son wear a whistle!",Rick,Alan
"Thanks, Noob-Noob! This guy gets it.",Rick,Rick
"Uh, I was also late because of my drinking and metioned it to zero applause.",Rick,Morty
"Did he say ""three for three""?",Morty,Vance
Did he say he never forgets a kid?,Rick,Morty
"You mean ""two for two"", right, Vance?",Morty,Rick
"So, this is... Vindicators 3? And you guys did Vindicators 2... w-without us?",Morty,Supernova
"I guess he found his crowd. Pretty toothless stuff, guys.",Rick,Vance
"I hope you're happy with the adventure so far, Morty. These guys are even lamer than last time.",Rick,Rick
"We weren't here ""last time"", remember? They did a whole Vindicators without us. A bunch of them got killed, too. They lost Lady Katana, Calypso, Diablo Verde...",Morty,Rick
"Yikes. Yeah, things did feel less diverse in there.",Rick,Morty
"This article says the reason we weren't involved was... ""personality conflicts"".",Morty,Rick
"Don't worry, Morty, they love you. Superheroes need a wide-eyed unremarkable to tag along and react to everything like it's mind-blowing.",Rick,Morty
I... think the personality conflict might have been... you.,Morty,Rick
"Jesus... How awesome is that? I mean, they wanted to not need me so bad, they murdered three innocent heroes of color, and they still had to bring me back?",Rick,Morty
"Rick, since it's my adventure and all, could you do me a favor?",Morty,Rick
"Uh, the adventure is the favor, Morty. Me sleeping on these linens is the favor. I mean, w-w-w-what--what are we vindicating? Comfort?",Rick,Morty
"Rick, this really bums me out. It-It's embarrassing to find out these guys don't like us.",Morty,Rick
"Why? Morty,  I defeat gagoos more powerful than these guys every week.",Rick,Morty
"Oh, please. They just call themselves heroes so they can...",Rick,Morty
"I'm calling them that, Rick! They're my heroes! Mine!",Morty,Rick
Huh... no accounting for taste. I'm gonna go get a drink.,Rick,Morty
I-I totally get it. I-I'm so sorry.,Morty,Vance
"Rick says ""good"" and ""bad"" are artificial constructs.",Morty,Vance
"Hey, I can't help if I can't see.",Rick,Supernova
"Really? You don't say. You would have used a ghost train?  Hey, everybody, the ghost train guy would have used a ghost train!",Rick,Alan
"Is there coffee? Hey, Morty, can you be a pal? Grandpa left his coffee maker on the ship. Y-You know, the French press thing?",Rick,Alan
"Little extra  snippy this morning, aren't you?",Rick,Morty
"Just focus on the mission, all right?",Morty,Rick
"Oh, oh, oh, I'm sorry. Oh, you're right. Ooh, real serious. Gotta take it real serious, huh?",Rick,Morty
"Ooh, real scared. Real fucking on alert, high alwrt over here.",Rick,Vance
"Million Ants, ladies and gentleman! The ant colony with the power of two human eyes!",Rick,Million Ants
"All right. Short mission, good mission. Remember when Alan wanted to use a ghost train? See you guys in Vindicators 4. Morty?",Rick,Rick
"Rick, whoever did this is an even bigger threat than Worldender! We can't leave now!",Morty,Rick
"Well, have fun with that. But Morty and I have to meet a comet girl, a monorail man, two assholes and a full alligator in, like, an hour.",Rick,Supernova
"Welp, it's official. I had too much to drink last night.",Rick,Drunk Rick
"Obviously, I came here last night during a blackout.",Rick,Vance
"Look, I'm a lit-- little more complex than you guys and, no offense, but I've always suspected that a lot of what you do in a year could be knocked out in a couple of hours.",Rick,Supernova
"Rick, is-is this a ""Saw"" thing? Are you seriously ""Saw""-ing the Vindicators?",Morty,Drunk Rick
"Morty I'm a drunk, not a hack.",Rick,Morty
"Well, I-I-I think we've seen enough. I'll just figure out how to unplug this.",Rick,Drunk Rick
"Whoa, whoa, whoa. Hold on, Vance. He said you'd die if you tried to leave. That means there's booby traps.",Rick,Vance
"What part of ""blackout"" don't you understand? I thought you drank?",Rick,Vance
Because my epidermis is laced with a nanofiber defense mesh.,Rick,Alan
"And because, like I said, I don't remember last night.",Rick,Rick
"Alan, I'm not proud of what's happening here, but if you keep coming at me, there's gonna be another passenger on that ghost train.",Rick,Alan
Guys!  I've figured it out.,Morty,Rick
It was a bit. All of the descriptors apply to all of you. Drunk Rick's point is that none of you are very special or different.  That's always his point.,Morty,Drunk Rick
The two of us?!  I hope you're proud of yourself!,Morty,Supernova
"Uh, I kind of am. I saved the goddamn universe.",Rick,Morty
"Ahh, it would've been if I hadn't.",Rick,Morty
"Huh, I'm seeing more croc than bot here.",Rick,Supernova
"Uh, what happened on Dorian 5?",Morty,Supernova
"You know,  I could have made a device to detect Doomnomitron from orbit like  that.",Rick,Morty
I-It's just something Rick starts talking about whenever he's blackout drunk.,Morty,Supernova
"W-What? In w--In w-w-what--In what way? Like, w-w-what's my point?",Rick,Morty
"In a way that has no point! You just babble about defense budgets and the United Nations, and then you pass out!",Morty,Rick
"So, to be clear, I sometimes reference the geopolitical complexities of the topic, which is not the same as going to an anti-Semitic place.",Rick,Morty
"I don't either. I-I'm just saying, if anything, the drunk version of me is probably so supportive of Israel, he wants what's best for it and...",Rick,Million Ants
"You guys hit the baskets. I'll disarm the drunkenly-improvised neutrino bomb. There's a 40% chance it's a dud, but y-you should still stay back.",Morty,Drunk Rick
"Man, I am really getting high-roaded today.",Rick,Morty
Where the fuck is the lead wire?!,Rick,Drunk Rick
"You always put it in the weirdest place! Um, uh, over here, maybe?",Morty,Rick
"Jesus Christ, what a shitty neutrino bomb. it's a miracle I actually every destroy anything.",Rick,Morty
"Oh, I don't know. You managed to destroy just about everything today; the villains, the heroes, the lines between them, my childhood...",Morty,Rick
"Thank you. I appreciate it, Morty. I know you were sucking the Kool-Aid out of the Vindicators' dicks, so the fact that I was right about them must be pretty hard to admit.",Rick,Morty
"Yeah, it is. You know why, Rick? Because when you're an asshole, it doesn't matter how right you are, nobody wants to give you the satisfaction.",Morty,Rick
"I know. Everyone wants people they like to be right. That's why popular people are fucking dumb. And why your pretentious, poorly-written, high-budget friends back there can a eat a double-decker shit sandwich.  Disarmed.",Rick,Morty
"Guys, stop! You're just proving my asshole grandpa right!",Morty,Drunk Rick
"Oh, come on, maybe a couple of them, but definitely not the train guy.",Rick,Supernova
"I think... no matter what we put on there, we die. he said it's the part of the Vindicators he values. That means nothing. He wants our last moment alive to be spent knowing how few fucks he gave.",Morty,Supernova
"Hey, I don't know. I mean, look, when I get drunk, I get stupid and emotional and there's no logic to it. it's, like, possible I got so drunk, I felt like I was losing Morty to the Vindicators, and maybe this is my way of saying ""Okay, you can have him, but only if you know how important he is, otherwise I'll kill you.""",Rick,Morty
"Look, I... there's nothing in the room but us. I'm just using logic to connect some dots. It's the best guess I've got.",Rick,Million Ants
I'll cover that bet. I get it.,Morty,Supernova
"Well, Morty, I think you're making that smirky face because you're misinterpreting the moment. I am not being coy about some hidden love for you. I want to be really clear that, if anyone has a better guess, like, if I gave you an amulet last night, or...",Rick,Morty
No doubt. Who do we make the check out to?,Morty,Rick
"I'll say, we are gettin' some good licks in while choking to death.",Rick,Morty
"Look at that. Geez, I must've planned a whole party. Invited a bunch of people. Not bad, Drunk Rick, not bad.",Rick,Announcer
But.. she was trying to kill us!,Morty,Rick
"Morty, twenty people try to kill me every week. I end up getting high with half of 'em. I mean, check it out, Gear Head's here.",Rick,Morty
"Morty, you're wearing a Vindicator jacket. Are you a little superhero now?",Beth,Rick
"Everyone in the universe is a hero, Mom. Which is why we don't need jackets.  And I'm pretty sure we don't need Vindicators.",Morty,Beth
"Man, Grandpa Rick must have gotten shitfaced.",Summer,Morty
